wav_filename,transcript
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0032.wav,le impacctaban no dijé chin menudo lío que me metieron por qué cómo cómo vamos a hacer todo esto
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0033.wav,cómo lo pude haber hecho y cómo lo encontramos de verdad con los grandes problemas mundiales fue este esquema
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0034.wav,me encontre que habia problemas de salud y el más grave que es la mortandad e infantil por problemas de salud
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0035.wav,que si tenemos muchos casos de niños menores de cinco años que mueren me encuentro con que la educación
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0036.wav,más del ochenta porciento que ni siquiera terminan los estudios e de
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0037.wav,preparatoria no y solo un dos porciento que termina las carreras universitarias me encuentro también con
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0038.wav,un problema económico de trabajos irregulares no e falta de oportunidades laborales y todo lo que implica la ecónomia informal y formal
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0039.wav,y por último si a esto le agra le agregamos el componenete de violencia no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0040.wav,este qué vamos a tener como resultado o como respuesta pues obviamente una infancia en situación de calle
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0041.wav,en riesgo de calle en situación de abandono que ya sea que trabajen en calle o ya viven en calle
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0042.wav,este problema es mundial no nada más nos compete a nosotros pero el gran reto era hacer algo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0043.wav,que que nos compitiera a nosotros todas las historias que hemos tocado hoy en la noche o que se han tocado de alguna manera han tocado alguno de estos temas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0044.wav,y que cual era el segundo reto el segundo reto era e tenemos que pasar de una fase a a una fase c
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0045.wav,y que el reto el reto más grande era hacerlo de irlo del llevarlo de la fase a a la fase b a la fase c esto es desde la fase de confianza
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0046.wav,generar habilidades y desarrollar habilidades para lograr formar agentes de cambio
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0047.wav,porque hemos hablado toda la noche de como ser agentes de cambio no pero nadie nos ha hablado de como podemos formar agentes de cambio
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0048.wav,cómo le vamos a hacer si el cincuenta porciento por lo visto la educación formal es obsoleta no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0049.wav,estrategias inovadores que realmente sean masivas si no nada mas como cosas más particulares entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0050.wav,muy especializado decidimos crear un modelo que respondiera a esta dimensión humana
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0051.wav,un modelo no solamente que esté parchado en la parte cognitiva como en las escuelas que nada más te aprende te hacen aprenderte todo de memoria
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0052.wav,de altísima marginación que toda su vida le han dicho que no vale la pena no y que toda la vida lo han sometido a que el
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0053.wav,sienta ese poder esa energía esa autoestima para saber y darse cuenta que el puede salir adelante y que el puede ser un agente de cambio
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0054.wav,prácticameente todos y nos quedamos con los componentes como que consideramos que son los más humanos o los principales y lo dividimos en cinco áreas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0055.wav,el área de yo pienso desarrolla habilidades del pensamiento exclusivamente para que los niños aprendan a solucionar conflictos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0056.wav,el que sea pero que finalemente puedan hacerlo y tengan las herramientas para hacerlo el segundo es el área que se llama yo actuo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0057.wav,yo actua yo actuo desarrolla la voluntad son metodologias y estrategias
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0058.wav,que difícilmente en las escuelas nos enseñan por qué porque nadie nos enseña nos enseñan a como aprender las cosas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0059.wav,e el área de yo actua desarrolla justamente este componente la tercer área se llama yo siento es un programa
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0060.wav,que inova en todo lo que son las emociones y en el concepto em
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0061.wav,de la de del programa emocional que tiene que ver con e todo lo que son las relaciones positivas todo lo que ve
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0062.wav,relacionarme sin violencia relacionarme con mi entorno y además relacionarme con mi familia
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0063.wav,y por último el área que se llama yo expreso si yo no puedo escribir y leer no
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0064.wav,cómo espero expresarme de una manera fundamental y fuerte pues a traves del arte el arte es el medio por excelencia
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0065.wav,y no solamente lo hacemos de una manera integral con los niños si no que también lo hacemos con las familias
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0066.wav,las familias tienen un componente exactamente igual pero con una intervención precisa y específica
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0067.wav,la mayoría en primer lugar el ochenta y cinco porciento de los niños ya no están en calle ya están con nosotros y además que quieran estar con nosotros
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0068.wav,esa es un componente fundamental no entregamos certificados no entregamos despensas a cambio y ahí están día con día para
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0069.wav,justamente poderlos incorporar a la sociedad hemos hablado de como ser agentes de cambio en esta noche
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0070.wav,hemos hablado de qué tenemos que hacer cada uno de nosotros para llevar a cabo y hacer un cambio en nuestras vidas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0071.wav,yo quisiera hacer cuatro em una sintesis de cuatro elemntos que hemos visto hoy
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0072.wav,sabemos que tenemos que aprender a colaborar que nuestro pensamiento es el único que nos limita
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0073.wav,tons tenemos que ver a aprender a ver más allá y aprender a tener la capacidad de adaptarnos y saber que todo es posible
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0074.wav,el segundo punto es ser resilientes es decir tener esa capacidad de levantarnos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0075.wav,podemos reaprender a vivir y muchas historias hoy en la noche nos lo mostraron
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0076.wav,el tercer punto es sacar todo nuestro potencial aquí y ahora
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0077.wav,el mundo necesita que saquemos todo nuestro potencial humano
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0078.wav,no solamente en lo económico no solamente en la salud no so sacar nuestro potencial integral en todas estas áreas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0079.wav,si el cambio empieza conmigo y todo es posible con una causa entonces podemos ver los cambios que hemos visto a lo largo de la noche
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0080.wav,quiero enseñarles esta toalla que es una toalla que me tejió yamila hace muchos años ya hace como diez años
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0081.wav,cuando le enseñe a leer y a escribir dice mi nombre e y es una toalla que la verdad yo siempre la cargo conmigo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_001_SPA_0082.wav,podemos aprender de cualquier situación que podemos volvernos a levantar y que los agentes de cambio para poder formar agentes de cambio nosotros tenemos que se agentes de cambio primero
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0001.wav,muy bien todos tenemos un año ese año donde todo nos hace quiebre
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0002.wav,y para mi fue dosmil tres que desués de de trabajar en grandes marcas grandes proyectos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0003.wav,mucho éxito dinero ir y venir reconocimientos un buen día me vi al espejo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0004.wav,y no me gusto la mujer que veía enfrente me vía vacía no me gustaba para nada entonces en mi caso
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0005.wav,busque a dios y le dijé adios que hago porque lo que tengo hoy no me gusta no se si alguno les ha pasado que te levantas en la mañana
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0006.wav,y lloras para ir a trabajar eso me paso a mi entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0007.wav,empecé a tar a preguntar a dios qué hago en qué a qué me dedico qué hago hoy porque no me siento llena entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0008.wav,empecé a darme cuenta que ya llavaba varios años trabajando en todas las áreas de mercadotécnia y que sin saber
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0009.wav,dios me mostro que yo tenia que ser un instrumento de amor para los demás y que era en la doscencia que en aquellos años ya llevaba cuatro años dando clases
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0010.wav,donde yo vivia donde yo me sentia no importa que me den
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0011.wav,seis salones llenos de alumnos echenmelos yo ahí sentia que vibraba
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0012.wav,y derrepente dios em dijó eso quiero que hagas que des clases clases dios
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0013.wav,no si me da miedo no mas daba clases porque necesitaba el dinero
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0014.wav,pero entonces derrepente me dí cuenta que ahí era donde dios me queria
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0015.wav,y yo como si me da nervios no se hablar ni me peino
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0016.wav,se me susurro harás lo que siempre en la carrera les traeras a tus alumnos la práctica los retaras tal como se les reta allá afuera
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0017.wav,y grandes cosas harán fue entonces que en año de dosmil cuatro dosmil siete yo estaba en ocotlan jalisco en el centro universitario de la sienega
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0018.wav,dando clases y empecé a crear proyectos para cada salón no en donde se les retaba a los alumnos y se les decía
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0019.wav,vamos a lograr vamos a impactar a la sociedad que sea un beneficio tripartita que no nada más
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0020.wav,ustedes y yo nos veamos beneficiados si no que también un tercero se vea beneficiado y derrpente
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0021.wav,empecé a ver que mis alumnos se convertian en esos emprendedores en esos negociadores
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0022.wav,que ganaban confianza y que ya no era el alicia pero aquí no hay nada no si hay
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0023.wav,si hay y mucho y fue entonces que derrepente viendo todo esto en donde en una universidad donde los recursos escasean
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0024.wav,en una universidad en donde al alumno se le dice pues tienes que empezar desde abajo y a ver si te sale entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0025.wav,empezamos a trabajar a trabajar a trabajar y otra vez dios me susurro tienes que hacer cosas más grandes
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0026.wav,más grandes cómo por donde entonces estando afuera de una escuela primaria en ocotlan jalisco
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0027.wav,se me dijó vas a unir a tus seis salones en estrategias de relaciones públicas y servicio a cliente que son las que daba en ese entonces
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0028.wav,y van a generar estrategias para conseguir patrocinios y donativos en los cuales beneficien a una escuela primaria
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0029.wav,en noviembre del dosmil seis se creo escuela hermosa con más de doscientos alumnos y dientes felices en dosmil siete mayo de dosmil siete con mas de doscientos alumnos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0030.wav,empezamos a trabajar toda la teoria en la práctica muchachos tenemos que redactar una carta bien hecha de patrocino para conseguir patrocinios
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0031.wav,alicia no no más así con que que es de que sirven los acentos hazlo hagamoslo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0032.wav,fue un poryecto donde nos soprendimos porque una vez una una alumna llega la que más me dijó no se puede
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0033.wav,me dice te mande un correo alicia resulta que mando una carta por correo electronico a lantad
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0034.wav,y le responoden maribel hemos leido tu carta cuenta con nosotros y diez computadoras por medio de la sep
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0035.wav,estos chavos que ven aquí ocnsiguieron más de ciento cincuenta mil pesos muchachos en patrociinios y donativos para una escuela primaria que tenia más de cien años construida
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0036.wav,después dientes felices en los cuales teniamos que el el reto era
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0037.wav,mil mil mil mil niños mil pastas de dientes mil cepillos de dientes llega un alumno y me dice oye alicia pues es que fui platique con unos dentistas
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0038.wav,y pues me dicen que si me ayudan y pues es que tú me dijiste que platicaramos con tres personas y consiguieramos tres pastas de dientes
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0039.wav,pero me dicen que me regalan mil que le digo pues que si fue un proyecto de más de ciento treinta mil pesos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0040.wav,en donde impactamos a mas de dosmil cuatrocientos al niños en primarias en donde tenian que yo les dije tienen que crear una obra de teatro en donde podamos llegar y consientizzar a los niños
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0041.wav,resulta que crearon a cetiman el hilo maravilla y pasti chica y juntos luchaban para acabar
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0042.wav,con se con malacaries y sarro todo con estrategias muchachos de relaciones públicas y servicio al cliente
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0043.wav,entonces fue ahí donde me di cuenta que todos venimos a este mundo con una misión que todo mundo venimos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0044.wav,a ser un instrumento venimos a servir y que yo sin saber y después de haber llegado a un
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0045.wav,fracaso por así decirlo espiritual en donde no me gustaba la mujer en la que me había convertido
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0046.wav,dios me hizo ver que la docencia estaba ahí que ya habia que habia que impactar a los chavos había que exigirles y saben que dan el ancho
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0047.wav,y nos sorprenden y derrepente fue donde me di cuenta que yo vivia en las clases
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0048.wav,y que es hoy para mi el dar clases en licenciaturas y maestrias una situación medio chistosa
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_002_SPA_0049.wav,de miedo pero de emoción de podre o no se podrá y siempre es camina muchísimas gracias
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0001.wav,qué tipo de recorridos pueden hacer y eso puede ser una manera de rencontrarnos en el espacio de aprender a vivir la ciudad de otra manera y en verdad de volvernos otra vez ciudadanos
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0002.wav,además de todo eso que dijeron que hecho y que soy soy una vecina de la roma condesa éste proyecto surgió en dos mil nueve después de
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0003.wav,la crisis de la influenza e me dí cuenta que mi barrio la roma condesa estaba peridendo vitalidad y que había
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0004.wav,en lugar de quejarnos hacer algo por la ciudad por el entorno donde vivo en a mediados de los años noventa un grupo de galerias
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0005.wav,y armaron lo que fue el corredor cultural de la roma cada jueves último de mes había expocisiones en todas las galerias podías tomar una copa ver una expocisión conocer gente
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0006.wav,y de esa manera las galerias trajeron gente a la roma condesa gente que tenía miedo de venir a esa zona porque estaba muy deprimida
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0007.wav,también se e se proyecto cultural me marco y yo quise hacer lo mismo con la gente que vivia a mi al rededor y con la gente que estaba trabajando conmigo
C:\Users\renec\Desktop\tedx_spanish_corpus\tedx_spanish_corpus\speech\TEDX_F_003_SPA_0008.wav,en dosmil nueve hicimos la primera edición sin un centavo sin el apoyo de absolutamente nadie se convirtió en un proyecto colectivo invitamos a las galerias
